Date,Open,High,Low,Close,Adj Close,Volume
2021-12-24,46150.000000,47000.000000,46150.000000,46750.000000,46053.722656,260628
2021-12-27,46600.000000,47600.000000,46600.000000,46950.000000,46250.746094,283732
2021-12-28,47200.000000,47250.000000,46400.000000,47000.000000,46300.000000,282248
2021-12-29,47000.000000,48700.000000,46400.000000,48250.000000,48250.000000,563177
2021-12-30,48350.000000,48550.000000,47350.000000,48000.000000,48000.000000,359366
2022-01-04,49950.000000,50900.000000,49500.000000,50400.000000,50400.000000,632043
2022-01-05,50300.000000,51200.000000,49900.000000,50900.000000,50900.000000,668999
2022-01-06,49950.000000,51200.000000,49400.000000,49400.000000,49400.000000,555801
2022-01-07,49500.000000,50800.000000,49200.000000,50100.000000,50100.000000,359538
2022-01-10,50500.000000,51700.000000,50100.000000,51100.000000,51100.000000,564438
2022-01-11,51500.000000,51700.000000,49850.000000,50200.000000,50200.000000,413774
2022-01-12,50300.000000,51200.000000,50300.000000,50400.000000,50400.000000,235496
2022-01-13,50800.000000,53200.000000,50600.000000,52500.000000,52500.000000,1065501
2022-01-14,52400.000000,53200.000000,51800.000000,52900.000000,52900.000000,465242
2022-01-17,54000.000000,54100.000000,52100.000000,52500.000000,52500.000000,765922
2022-01-18,52700.000000,53600.000000,51400.000000,52000.000000,52000.000000,519773
2022-01-19,51000.000000,52900.000000,50800.000000,51500.000000,51500.000000,392397
2022-01-20,52200.000000,54500.000000,52000.000000,53800.000000,53800.000000,875377
2022-01-21,53100.000000,54000.000000,52000.000000,53500.000000,53500.000000,568060
2022-01-24,52300.000000,52800.000000,48150.000000,48350.000000,48350.000000,1507727
2022-01-25,48350.000000,49350.000000,47800.000000,48500.000000,48500.000000,662948
2022-01-26,48500.000000,48500.000000,48500.000000,48500.000000,48500.000000,0
2022-01-27,49050.000000,49200.000000,46400.000000,46850.000000,46850.000000,519480
2022-01-28,46850.000000,48450.000000,46250.000000,47800.000000,47800.000000,502887
2022-02-03,50900.000000,51100.000000,47500.000000,47550.000000,47550.000000,1091999
2022-02-04,47500.000000,48350.000000,47050.000000,48150.000000,48150.000000,380710
2022-02-07,49000.000000,51700.000000,48750.000000,50400.000000,50400.000000,1077438
2022-02-08,50400.000000,50400.000000,50400.000000,50400.000000,50400.000000,0
2022-02-09,50400.000000,50400.000000,50400.000000,50400.000000,50400.000000,0
2022-02-10,49350.000000,49500.000000,47900.000000,48800.000000,48800.000000,314648
2022-02-11,48500.000000,48800.000000,47650.000000,47700.000000,47700.000000,300611
2022-02-14,47700.000000,48500.000000,45700.000000,46400.000000,46400.000000,441320
2022-02-15,46200.000000,46850.000000,45100.000000,45400.000000,45400.000000,290883
2022-02-16,45900.000000,46400.000000,45550.000000,45950.000000,45950.000000,234414
2022-02-17,46200.000000,47750.000000,45950.000000,47300.000000,47300.000000,453172
2022-02-18,46800.000000,47500.000000,46450.000000,47250.000000,47250.000000,234375
2022-02-21,47250.000000,47250.000000,47250.000000,47250.000000,47250.000000,0
2022-02-22,47250.000000,47250.000000,47250.000000,47250.000000,47250.000000,0
2022-02-23,47250.000000,47250.000000,47250.000000,47250.000000,47250.000000,0
2022-02-24,46100.000000,46550.000000,45300.000000,45600.000000,45600.000000,330904
2022-02-25,46250.000000,49200.000000,46000.000000,48900.000000,48900.000000,635559
2022-02-28,48900.000000,48900.000000,48900.000000,48900.000000,48900.000000,0
2022-03-02,53300.000000,55400.000000,53000.000000,54500.000000,54500.000000,1605467
2022-03-03,53600.000000,54700.000000,52300.000000,53900.000000,53900.000000,779569
2022-03-04,53900.000000,53900.000000,53900.000000,53900.000000,53900.000000,0
2022-03-07,57700.000000,58500.000000,54800.000000,55100.000000,55100.000000,1223811
2022-03-08,55800.000000,56000.000000,52900.000000,53300.000000,53300.000000,826184
2022-03-10,53300.000000,53300.000000,53300.000000,53300.000000,53300.000000,0
2022-03-11,53300.000000,53300.000000,53300.000000,53300.000000,53300.000000,0
2022-03-14,55300.000000,56200.000000,54400.000000,54700.000000,54700.000000,478887
2022-03-15,54700.000000,54700.000000,54700.000000,54700.000000,54700.000000,0
2022-03-16,54700.000000,54700.000000,54700.000000,54700.000000,54700.000000,0
2022-03-17,54700.000000,54700.000000,54700.000000,54700.000000,54700.000000,0
2022-03-18,50600.000000,51500.000000,49800.000000,51400.000000,51400.000000,706241
2022-03-21,51400.000000,51400.000000,51400.000000,51400.000000,51400.000000,0
2022-03-22,51900.000000,55300.000000,51700.000000,53700.000000,53700.000000,1150941
2022-03-23,53800.000000,54300.000000,52900.000000,53600.000000,53600.000000,418202
2022-03-24,53700.000000,54900.000000,53000.000000,54400.000000,54400.000000,367468
2022-03-25,55000.000000,56200.000000,54700.000000,55500.000000,55500.000000,787298
2022-03-28,55900.000000,56400.000000,55100.000000,55500.000000,55500.000000,362933
2022-03-29,55600.000000,55600.000000,51500.000000,52000.000000,52000.000000,910095
2022-03-30,51500.000000,53600.000000,51200.000000,53400.000000,53400.000000,448079
2022-03-31,54100.000000,54500.000000,52000.000000,52200.000000,52200.000000,481655
2022-04-01,52400.000000,53100.000000,51600.000000,52200.000000,52200.000000,394553
2022-04-04,52300.000000,53000.000000,51600.000000,52700.000000,52700.000000,190850
2022-04-05,52800.000000,52800.000000,50900.000000,51300.000000,51300.000000,497255
2022-04-06,50900.000000,52200.000000,50800.000000,51900.000000,51900.000000,437053
2022-04-07,51300.000000,51800.000000,50100.000000,50400.000000,50400.000000,394221
2022-04-08,51000.000000,51500.000000,50200.000000,50700.000000,50700.000000,222959
2022-04-11,50800.000000,51600.000000,50700.000000,51000.000000,51000.000000,164691
2022-04-12,50500.000000,51400.000000,50300.000000,50800.000000,50800.000000,171110
2022-04-13,50900.000000,52700.000000,50900.000000,52500.000000,52500.000000,451359
2022-04-14,52600.000000,52900.000000,51900.000000,52000.000000,52000.000000,221942
2022-04-15,51800.000000,53800.000000,51200.000000,53200.000000,53200.000000,437778
2022-04-18,53300.000000,54400.000000,53200.000000,54200.000000,54200.000000,342106
2022-04-19,54200.000000,54300.000000,53200.000000,54000.000000,54000.000000,246301
2022-04-20,53600.000000,53600.000000,52300.000000,52800.000000,52800.000000,285558
